The Dark Knight;Action;Christian Bale;Christopher Nolan
Mad Max: Fury Road;Action;Tom Hardy;George Miller
John Wick;Action;Keanu Reeves;Chad Stahelski
Avengers: Endgame;Action;Robert Downey Jr;Anthony Russo and Joe Russo
Die Hard;Action;Tom Cruise;Cristopher McQuarrie
Mission: Impossible - Fallout;Action;Russell Crowe;Ridley Scott
Gladiator;Action;Bruce Willis;John McTiernan
Inception;Action;Keanu Reeves;Lana Wachowski and Lilly Wachowski
The Matrix;Action;Leonardo Dicrapio;Christopher Nolan
The Raid;Action;Iko Uwais;Gareth Evans
Indiana Jones and the Raiders of the Lost Ark;Adventure;Harrison Ford;Steven Spielberg
The Lord of the Rings: The Fellowship of the Ring;Adventure;Elijah Wood;Peter Jackson
Pirates of the Caribbean: The Curse of the Black Pearl;Adventure;Johnny Depp;Gore Verbinski
Jurassic Park;Adventure;Sam Neill;Steven Spielberg
The Jungle Book;Adventure;Neel Sethi;Jon Favreau
The Goonies;Adventure;Sean Astin;Richard Donner
The Princess Bride;Adventure;Cary Elwes;Rob Reiner
Raiders of the Lost Ark;Adventure;Harrison Ford;Steven Spielberg
Guardians of the Galaxy;Adventure;Chris Pratt;James Gunn
The Hobbit: An Unexpected Journey;Adventure;Martin Freeman;Peter Jackson
Blade Runner 2049;Fiction;Ryan Gosling;Denis Villeneuve
The Matrix;Fiction;Keanu Reeves;Lana Wachowski and Lilly Wachowski
Interstellar;Fiction;Matthew McConaughey;Christopher Nolan
The Fifth Element;Fiction;Bruce Willis;Luc Besson
Ex Machina;Fiction;Domhnall Gleeson;Alex Garland
Inception;Fiction;Leonardo DiCaprio;Alex Garland
The Truman Show;Fiction;Jim Carrey;Peter Weir
E.T. the Extra-Terrestrial;Fiction;Henry Thomas;Steven Spielberg
The Terminator;Fiction;Arnold Schwarzenegger;James Cameron
The Martian;Fiction;Matt Damon;Ridley Scott
The Hangover;Comedy;Jonah Hill;Todd Phillips
Superbad;Comedy;Greg Mottola;Greg Mottola
Bridesmaids;Comedy;Paul Feig;Paul Feig
Airplane!;Comedy;Robert Hays;Jim Abrahams y los hermanos David Zucker y Jerry Zucker
Anchorman: The Legend of Ron Burgundy;Comedy;Will Ferrell;Adam McKay
Dumb and Dumber;Comedy;Jim Carrey y Jeff Daniels;Peter Farrelly y Bobby Farrelly
Mean Girls;Comedy;Lindsay Lohan;Mark Waters
Ferris Bueller's Day Off;Comedy;Matthew Broderick;John Hughes
The Big Lebowski;Comedy;Jeff Bridges;Joel Coen y Ethan Coen
Tropic Thunder;Comedy;Ben Stiller;Ben Stiller
The Shawshank Redemption;Drama;Tim Robbins;Frank Darabont
The Godfather;Drama;Marlon Brando;Francis Ford Coppola
Schindler's List;Drama;Liam Neeson;Steven Spielberg
Forrest Gump;Drama;Tom Hanks;Robert Zemeckis
Fight Club;Drama;Brad Pitt;David Fincher
The Pianist;Drama;Adrien Brody;Roman Polanski
American Beauty;Drama;Kevin Spacey;Sam Mendes
Good Will Hunting;Drama;Matt Damon y Robin Williams;Gus Van Sant
The Pursuit of Happyness;Drama;Will Smith;Gabriele Muccino
La La Land;Drama;Ryan Gosling y Emma Stone;Damien�Chazelle
